dog,owner,Hrs_Cardio,Walk_P_Week,Min_P_Walk,Walk_P_Day,Vig_Day_P_Wk,Vig_min_day,Mod_day_wk,Mod_min_day,Walk_min_day,DEFS,obj_choice,att_task,gaze_owner,walk_away,sec,perc_att_task,perc_gaze_owner,perc_walk_away,walk_test_m,chair_stand,grip_kg,back up test-flat,back_sec,back up test incline,,Train_Vol
P001,1,1,1,30,1,0,0,0,0,0,78,0.5,19.88,19.71,20.41,60,0.331333333,0.3285,0.340166667,467.931,12,35.33333333,30,30,Fail,30,33.5
P002,1,1,1,30,1,0,0,0,0,60,70,0.9,23.72,30.98,5.3,60,0.395333333,0.516333333,0.088333333,467.931,12,35.33333333,22.4,30,N/A,0,46.25
P003,2,1,1.5,45,1,2,60,4,90,30,75,0.9,47.35,4.69,5.3,57.34,0.825776073,0.081792815,0.092431113,621.651,17.5,58,20,30,N/A,0,37.25
P004,3,3,7,30,1,3,30,4,60,180,74,1,54.79,0,5.21,60,0.913166667,0,0.086833333,602.8935,20.5,20.33333333,30,29.44,Fail,30,28.5
P005,4,4,7,40,4,3,35,7,n/a,25,73,1,26.38,12.45,21.17,60,0.439666667,0.2075,0.352833333,546.865,22.5,27.33333333,0,30,N/A,0,n/a
P006,5,4,3,35,1,0,0,0,0,30,91,0.9,33.76,6.01,20.23,60,0.562666667,0.100166667,0.337166667,498.675,14,34.66666667,30,27,Fail,30,31.5
P007,3,4,7,45,2,3,30,7,30,180,78,0.5,9,46,5,60,0.15,0.766666667,0.083333333,602.8935,20.5,20.33333333,30,27,Fail,30,34.5
P008,6,4,6,30,1,2,120,4,240,30,89,1,60,0,0,60,1,0,0,544.9435,12.5,34.16666667,29.8,30,N/A,0,n/a
P009,7,2,1,45,1,4,30,4,30,40,73,1,26.03,15.19,18.78,60,0.433833333,0.253166667,0.313,541.741,16,26.16666667,8,30,N/A,0,18.5
P010,7,3,5,40,1,4,30,4,30,40,69,0.4,0,11.71,48.29,60,0,0.195166667,0.804833333,541.741,16,26.16666667,23.3,30,N/A,0,15.25
P011,8,3,7,20,2,2,20,4,45,45,68,0.6,57.22,0,2.78,60,0.953666667,0,0.046333333,536.434,14.5,27.83333333,22.3,30,N/A,0,22.25
P012,8,4,7,20,2,2,20,4,45,20,74,0.9,17.28,36.88,5.84,60,0.288,0.614666667,0.097333333,536.434,14.5,27.83333333,0,30,N/A,0,28.75
P013,9,4,7,30,1,5,100,2,30,30,75,1,35.46,36.88,5.84,78.18,0.453568688,0.471731901,0.074699412,569.008,20,40,30,30,Fail,30,20.25
P014,10,4,0,0,2,3,30,0,0,0,81,1,36.46,3.83,19.71,60,0.607666667,0.063833333,0.3285,538.203,19.5,31.33333333,10,30,N/A,0,29.25
P015,10,4,0,0,2,3,30,0,0,0,84,0.8,21.42,6.26,32.32,60,0.357,0.104333333,0.538666667,538.203,19.5,31.33333333,20,30,N/A,0,14.5
P016,11,4,7,30,2,5,60,5,60,60,76,1,40.18,0,19.19,59.37,0.676772781,0,0.323227219,475.19,12.5,24.83333333,14.6,30,N/A,0,3.75
P017,12,3,7,15,3,0,0,3,60,120,67,1,13.04,38.51,8.45,60,0.217333333,0.641833333,0.140833333,555.1,23,27.33333333,30,19.44,10,30,29.75
P018,13,3,5,40,1,2,60,2,60,30,86,0.8,40.17,6.91,12.92,60,0.6695,0.115166667,0.215333333,401.868,11.5,26.16666667,25,30,N/A,0,23.25
P019,13,3,4.5,40,1,2,60,3,60,30,82,0.8,60,0,0,60,1,0,0,401.868,11.5,26.16666667,12.5,30,N/A,0,23.25
